0.660000  -0.081581 -0.000000  -0.370825 -0.000000  -1.123711 -0.000000  -1.702593 -0.000000
0.690000  -0.093219 -0.000000  -0.405302 -0.000000  -1.174789 -0.000000  -1.702593 -0.000000
0.720000  -0.105905 -0.000000  -0.440167 -0.000000  -1.137546 -0.000000  1.702593 0.000000
0.750000  -0.119614 -0.000000  -0.473527 -0.000000  -1.086468 -0.000000  1.702593 0.000000
0.780000  -0.134301 -0.000000  -0.505355 -0.000000  -1.035390 -0.000000  1.702593 0.000000
0.810000  -0.149920 -0.000000  -0.535650 -0.000000  -0.984313 -0.000000  1.702593 0.000000
0.840000  -0.166425 -0.000000  -0.564413 -0.000000  -0.933235 -0.000000  1.702593 0.000000
0.870000  -0.183770 -0.000000  -0.591644 -0.000000  -0.882157 -0.000000  1.702593 0.000000
0.900000  -0.201908 -0.000000  -0.617343 -0.000000  -0.831079 -0.000000  1.702593 0.000000
0.930000  -0.220795 -0.000000  -0.641509 -0.000000  -0.780002 -0.000000  1.702593 0.000000
0.960000  -0.240384 -0.000000  -0.664143 -0.000000  -0.728924 -0.000000  1.702593 0.000000
0.990000  -0.260628 -0.000000  -0.685245 -0.000000  -0.677846 -0.000000  1.702593 0.000000
1.020000  -0.281483 -0.000000  -0.704814 -0.000000  -0.626768 -0.000000  1.702593 0.000000
1.050000  -0.302902 -0.000000  -0.722851 -0.000000  -0.575690 -0.000000  1.702593 0.000000
1.080000  -0.324839 -0.000000  -0.739355 -0.000000  -0.524613 -0.000000  1.702593 0.000000
1.110000  -0.347248 -0.000000  -0.754327 -0.000000  -0.473535 -0.000000  1.702593 0.000000
1.140000  -0.370083 -0.000000  -0.767767 -0.000000  -0.422457 -0.000000  1.702593 0.000000
1.170000  -0.393298 -0.000000  -0.779675 -0.000000  -0.371379 -0.000000  1.702593 0.000000
1.200000  -0.416848 -0.000000  -0.790050 -0.000000  -0.320302 -0.000000  1.702593 0.000000
1.230000  -0.440686 -0.000000  -0.798893 -0.000000  -0.269224 -0.000000  1.702593 0.000000
1.260000  -0.464766 -0.000000  -0.806203 -0.000000  -0.218146 -0.000000  1.702593 0.000000
1.290000  -0.489043 -0.000000  -0.811982 -0.000000  -0.167068 -0.000000  1.702593 0.000000
1.320000  -0.513470 -0.000000  -0.816228 -0.000000  -0.115990 -0.000000  1.702593 0.000000
1.350000  -0.538001 -0.000000  -0.818941 -0.000000  -0.064913 -0.000000  1.702593 0.000000
1.380000  -0.562591 -0.000000  -0.820122 -0.000000  -0.013835 -0.000000  1.702593 0.000000
1.410000  -0.587193 -0.000000  -0.819771 -0.000000  0.037243 0.000000  1.702593 0.000000
1.440000  -0.611762 -0.000000  -0.817888 -0.000000  0.088321 0.000000  1.702593 0.000000
1.470000  -0.636251 -0.000000  -0.814472 -0.000000  0.139398 0.000000  1.702593 0.000000
1.500000  -0.660615 -0.000000  -0.809524 -0.000000  0.190476 0.000000  1.702593 0.000000
1.530000  -0.684807 -0.000000  -0.803043 -0.000000  0.241554 0.000000  1.702593 0.000000
1.560000  -0.708782 -0.000000  -0.795031 -0.000000  0.292632 0.000000  1.702593 0.000000
1.590000  -0.732494 -0.000000  -0.785485 -0.000000  0.343710 0.000000  1.702593 0.000000
1.620000  -0.755896 -0.000000  -0.774408 -0.000000  0.394787 0.000000  1.702593 0.000000
1.650000  -0.778943 -0.000000  -0.761798 -0.000000  0.445865 0.000000  1.702593 0.000000
1.680000  -0.801589 -0.000000  -0.747656 -0.000000  0.496943 0.000000  1.702593 0.000000
1.710000  -0.823787 -0.000000  -0.731982 -0.000000  0.548021 0.000000  1.702593 0.000000
1.740000  -0.845492 -0.000000  -0.714775 -0.000000  0.599098 0.000000  1.702593 0.000000
1.770000  -0.866658 -0.000000  -0.696036 -0.000000  0.650176 0.000000  1.702593 0.000000
1.800000  -0.887239 -0.000000  -0.675764 -0.000000  0.701254 0.000000  1.702593 0.000000
1.830000  -0.907189 -0.000000  -0.653961 -0.000000  0.752332 0.000000  1.702593 0.000000
1.860000  -0.926461 -0.000000  -0.630624 -0.000000  0.803409 0.000000  1.702593 0.000000
1.890000  -0.945011 -0.000000  -0.605756 -0.000000  0.854487 0.000000  1.702593 0.000000
1.920000  -0.962791 -0.000000  -0.579355 -0.000000  0.905565 0.000000  1.702593 0.000000
1.950000  -0.979757 -0.000000  -0.551422 -0.000000  0.956643 0.000000  1.702593 0.000000
1.980000  -0.995861 -0.000000  -0.521957 -0.000000  1.007721 0.000000  1.702593 0.000000
2.010000  -1.011059 -0.000000  -0.490959 -0.000000  1.058798 0.000000  1.702593 0.000000
2.040000  -1.025304 -0.000000  -0.458429 -0.000000  1.109876 0.000000  1.702593 0.000000
2.070000  -1.038549 -0.000000  -0.424366 -0.000000  1.160954 0.000000  1.702593 0.000000
2.100000  -1.050750 -0.000000  -0.388771 -0.000000  1.212032 0.000000  1.702593 0.000000
2.130000  -1.061860 -0.000000  -0.351644 -0.000000  1.263109 0.000000  1.702593 0.000000
2.160000  -1.071834 -0.000000  -0.312985 -0.000000  1.314187 0.000000  1.702593 0.000000
2.190000  -1.080624 -0.000000  -0.272793 -0.000000  1.365265 0.000000  1.702593 0.000000
2.220000  -1.088196 -0.000000  -0.232214 -0.000000  1.328022 0.000000  -1.702593 -0.000000
2.250000  -1.094572 -0.000000  -0.193140 -0.000000  1.276944 0.000000  -1.702593 -0.000000
2.280000  -1.099799 -0.000000  -0.155598 -0.000000  1.225867 0.000000  -1.702593 -0.000000
2.310000  -1.103923 -0.000000  -0.119588 -0.000000  1.174789 0.000000  -1.702593 -0.000000
